Date,Value_US,Value_EU
2005-06-10,1.0001113079074282,1.0001113079074282
2005-06-13,1.0004867599502967,1.0004867599502967
2005-06-14,1.0000657970534894,1.0000657970534894
2005-06-15,1.0003944647087923,1.0003944647087923
2005-06-16,1.0020797276738984,1.0020797276738984
2005-06-17,1.0024717100601417,1.0024717100601417
2005-06-20,1.002540637236042,1.002540637236042
2005-06-21,1.0028850775151683,1.0028850775151683
2005-06-22,1.0026790519338509,1.0026790519338509
2005-06-23,1.003367073302099,1.003367073302099
2005-06-24,1.0030935545019342,1.0030935545019342
2005-06-27,1.0031164001774175,1.0031164001774175
2005-06-28,1.0020655401744465,1.0020655401744465
2005-06-29,1.0024806658358283,1.0024806658358283
2005-06-30,1.002044099781947,1.002044099781947
2005-07-01,1.0003371234544074,1.0003371234544074
2005-07-05,0.9993531806706714,0.9993531806706714
2005-07-06,0.9992822739148243,0.9992822739148243
2005-07-07,0.9995424435243963,0.9995424435243963
2005-07-08,0.999306474377363,0.999306474377363
2005-07-11,0.9999685861050821,0.9999685861050821
2005-07-12,1.0002036480012446,1.0002036480012446
2005-07-13,0.9995233947700389,0.9995233947700389
2005-07-14,0.9984613345727569,0.9984613345727569
2005-07-15,0.9988187734974232,0.9988187734974232
2005-07-18,0.9987237588336642,0.9987237588336642
2005-07-19,0.9984384796403857,0.9984384796403857
