Zone,Regime,Sector,IR,Win_Rate,Skewness,Kurtosis,CVaR_95
EU,GOLDILOCKS,SXRS.DE,-0.7158565326164368,0.4330708661417323,-0.16381067714429517,10.542647516812739,-0.011614366385015082
EU,REFLATION,EXV3.DE,-0.14855980348273348,0.5238095238095238,0.06196725075190004,1.6712413725526645,-0.0311329268989087
EU,REFLATION,EXV8.DE,0.28392050372100947,0.5476190476190477,0.19488515401610246,2.6632099457437945,-0.023401181109489928
EU,REFLATION,EXV1.DE,1.6848004062808732,0.5952380952380952,0.5219261719629412,8.772911751529978,-0.030665000174478815
EU,REFLATION,EXV5.DE,-0.39339034478561286,0.40476190476190477,-0.16648995735917108,1.610647905596882,-0.03266056838777317
EU,REFLATION,EXV6.DE,1.2704216074313288,0.6666666666666666,-0.09386604724310035,0.4149646151862951,-0.033043647676358485
EU,REFLATION,EXV4.DE,-0.49671859917549854,0.42857142857142855,0.1429941066584596,2.62293646758127,-0.018954009567470967
EU,REFLATION,EXV2.DE,0.23320723991111808,0.47619047619047616,-0.30795927308361803,1.175290321636182,-0.01942210354970089
EU,REFLATION,EXW1.DE,1.104993945337285,0.6904761904761905,0.03521873469914472,4.483362797671509,-0.02108098138140854
EU,REFLATION,EXI5.DE,-0.23023666499065548,0.5,-0.048263840297066124,3.0024057428239974,-0.02421338168077504
EU,REFLATION,EXV9.DE,-0.7623035434290516,0.40476190476190477,-0.29398244640494164,3.0573947796085594,-0.03250044058196402
EU,REFLATION,EXV7.DE,-1.063818797758015,0.38095238095238093,0.14937874209465268,1.5561079375817854,-0.020588992666116877
EU,REFLATION,SXRS.DE,-0.04637881128275133,0.4523809523809524,-0.4579251745120665,4.406045258147882,-0.022589157792304346
EU,STAGFLATION,EXV3.DE,0.3213223340929696,0.5522388059701493,0.08772519774765306,1.946205263830942,-0.04849991942955191
EU,STAGFLATION,EXV8.DE,0.24680287340397597,0.6119402985074627,0.15753525477905844,3.1348309432224157,-0.05133594020705387
EU,STAGFLATION,EXV1.DE,-0.5817941169033913,0.40298507462686567,0.19319989766032725,4.491864162751623,-0.06529034126495044
EU,STAGFLATION,EXV5.DE,0.12295976407970265,0.5223880597014925,5.24055934549238,90.67043866388825,-0.06338009546885666
EU,STAGFLATION,EXV6.DE,0.5163645784109996,0.6268656716417911,0.1899390265354313,4.0364872227489865,-0.07257120136422829
EU,STAGFLATION,EXV4.DE,0.5906673770905149,0.5373134328358209,0.0538474537043792,4.14517830789438,-0.03347860273852722
EU,STAGFLATION,EXV2.DE,0.4340125390308739,0.5522388059701493,0.01304735024639136,4.606093263587166,-0.037814508023929994
EU,STAGFLATION,EXW1.DE,0.09598271723401541,0.6567164179104478,0.1294826326213858,3.387445423727205,-0.04770786827841618
EU,STAGFLATION,EXI5.DE,-0.0038806585478574547,0.4626865671641791,-0.31055368413565776,2.968705210496905,-0.04783137556093031
EU,STAGFLATION,EXV9.DE,0.3641924916692605,0.5223880597014925,-0.12736108336903798,3.167869946847155,-0.0503088391769949
EU,STAGFLATION,EXV7.DE,0.46192748252105936,0.582089552238806,0.1820660498252968,3.836597308725044,-0.04482899879477529
EU,STAGFLATION,SXRS.DE,0.8334601262515678,0.6567164179104478,-0.22127799115617577,18.70262579411332,-0.019081300218045404
EU,DEFLATION,EXV3.DE,0.5405182162713865,0.6142857142857143,-0.3213554717971473,4.576905562276975,-0.03617908149998092
EU,DEFLATION,EXV8.DE,0.3986515600984945,0.5571428571428572,-0.6921434294890534,8.50113091187825,-0.04111674815909379
EU,DEFLATION,EXV1.DE,-0.2273071703318653,0.44285714285714284,0.15943636486057494,9.868587137343052,-0.048891143627045566
EU,DEFLATION,EXV5.DE,0.7993718323198626,0.6142857142857143,-0.08321848394925536,7.700619349467468,-0.04725773221034447
EU,DEFLATION,EXV6.DE,-0.1155369173329865,0.5142857142857142,-0.14383963279450748,5.779535566095289,-0.05260317678578054
EU,DEFLATION,EXV4.DE,0.450943274536404,0.5571428571428572,-0.6773410371387231,8.396491743209328,-0.02701721766312592
EU,DEFLATION,EXV2.DE,-0.23790753465634135,0.4,-0.3301826972418094,9.892816988275422,-0.03069104443625549
EU,DEFLATION,EXW1.DE,1.2621261890961954,0.7428571428571429,-0.20736534709152063,9.169165351000826,-0.03786448770696123
EU,DEFLATION,EXI5.DE,0.22009871718835117,0.5571428571428572,-0.5975128629207572,9.64766421744893,-0.036318208212069186
EU,DEFLATION,EXV9.DE,0.2631280748558154,0.5428571428571428,-0.2262061962005433,8.764874397247976,-0.04363477009890037
EU,DEFLATION,EXV7.DE,1.1750029670065865,0.5428571428571428,-0.553159935389339,5.378464804318957,-0.034307406091042894
EU,DEFLATION,SXRS.DE,-0.13381061453902104,0.45714285714285713,-0.9971349645674102,11.191202329631444,-0.0192799409415986
